keyword,popularity,popularity_is_floor,difficulty,apps_count,source_apps_count,source_apps,top_category,fetched_at
抖音,100,False,91,218,0,,expansion,1778847516.0804741
微信,98,False,94,228,0,,expansion,1778847490.575186
夸克,97,False,83,222,0,,expansion,1778847429.870058
快手,97,False,97,211,0,,expansion,1778847516.080481
王者荣耀,97,False,83,205,0,,expansion,1778848017.8883011
豆包,97,False,82,220,0,,expansion,1778848137.0580091
QQ,96,False,92,222,0,,expansion,1778847490.57519
小红书,96,False,92,229,0,,expansion,1778847490.77636
京东,95,False,71,205,0,,expansion,1778847799.708189
拼多多,95,False,88,224,0,,expansion,1778847799.708191
淘宝,95,False,95,188,0,,expansion,1778847799.7081869
百度,95,False,80,162,0,,expansion,1778847454.8862789
和平精英,94,False,86,193,0,,expansion,1778848017.888305
支付宝,94,False,94,231,0,,expansion,1778847397.984851
美团,94,False,84,219,0,,expansion,1778847828.90703
微博,92,False,90,162,0,,expansion,1778847490.5751932
闲鱼,92,False,84,240,0,,expansion,1778848857.4447749
大众点评,91,False,90,164,0,,expansion,1778847828.907038
百度网盘,91,False,85,198,0,,expansion,1778847516.080527
番茄小说,90,False,83,223,0,,expansion,1778847764.106291
美图秀秀,90,False,74,192,0,,expansion,1778846984.4801679
高德地图,90,False,94,219,0,,expansion,1778847549.254962
12306,89,False,94,158,0,,expansion,1778847618.6507058
QQ浏览器,89,False,82,187,0,,expansion,1778847429.870063
蛋仔派对,89,False,83,200,0,,expansion,1778848017.888316
Boss直聘,88,False,81,166,0,,expansion,1778848305.0755389
我的世界,88,False,69,167,0,,expansion,1778848075.996841
浏览器,88,False,84,214,0,,expansion,1778835649.126243
转转,88,False,68,187,0,,expansion,1778848857.444777
迅雷,88,False,69,186,0,,expansion,1778847516.080524
饿了么,87,False,66,213,0,,expansion,1778847828.907022
同花顺,86,False,74,196,1,174708944917,finance,1778830369.397886
携程,86,False,80,194,0,,expansion,1778847658.124286
水印相机,85,False,70,207,3,338422594106|338171279373|337473086360,business,1778831056.723043
1688,85,False,66,184,0,,expansion,1778847799.708197
WPS,85,False,60,200,0,,expansion,1778847928.8497899
qq邮箱,85,False,85,163,0,,expansion,1778847549.254935
全民k歌,85,False,73,132,0,,expansion,1778847186.962316
驾考宝典,84,False,77,164,1,283571269729,education,1778831698.493813
58同城,84,False,83,202,0,,expansion,1778848895.5098848
唯品会,84,False,89,183,0,,expansion,1778847799.708192
懂车帝,84,False,83,189,0,,expansion,1778847686.6231732
搜狗输入法,84,False,90,202,0,,expansion,1778848651.881045
知乎,84,False,85,216,0,,expansion,1778847799.708179
米家,84,False,84,228,0,,expansion,1778848165.520003
倒数日,83,False,76,213,2,41066047431|336484867920,graphics-and-design,1778828626.870225
VPN,83,False,76,160,0,,expansion,1778847454.886293
bilibili,83,False,73,134,0,,expansion,1778847799.7081778
百度地图,83,False,88,216,0,,expansion,1778847549.254965
美颜相机,83,False,83,182,0,,expansion,1778846943.622686
Steam,82,False,62,157,0,,expansion,1778848017.888321
原神,82,False,77,238,0,,expansion,1778848017.888308
