keyword,popularity,popularity_is_floor,difficulty,apps_count,source_apps_count,source_apps,top_category,fetched_at
calorie tracker,74,False,80,242,11,338109923228|336984263896|337323818982|337677459771|338274353530,health-and-fitness,1778832045.390552
photo editor,73,False,87,216,4,337050396332|337852557423|336989865805|304369060311,graphics-and-design,1778832764.063576
calendar,73,False,68,229,1,337735210211,photo-and-video,1778832045.390538
countdown,72,False,73,238,1,280873663392,utilities,1778832097.6527889
period tracker,71,False,79,220,6,334449832036|41565369835|337564157854|337473086504|336802133684,health-and-fitness,1778832734.402849
ai photo generator,71,False,82,234,1,337374356753,photo-and-video,1778831818.31871
puzzle games,71,False,91,244,1,39940687114,education,1778832865.939662
wallpapers,69,False,80,228,1,286113330412,graphics-and-design,1778833100.536767
pregnancy tracker,67,False,78,220,6,281836941420|280269830713|337473086504|5851887|280125433823,medical,1778832840.951752
habit tracker,67,False,68,240,5,280046956981|336744099256|335832412120|337330320694|22043738647,lifestyle,1778832454.315265
budget app,67,False,70,237,1,333823223169,finance,1778832008.433723
journal,67,False,75,238,1,280046956981,lifestyle,1778832528.037024
brain games,66,False,84,239,1,39940687114,education,1778831980.631114
to do list,66,False,78,229,1,337735210211,photo-and-video,1778833074.763905
calorie counter,65,False,81,239,11,338109923228|336984263896|337323818982|337677459771|338274353530,health-and-fitness,1778832045.390544
ai photo editor,65,False,84,233,4,337050396332|337852557423|338351962682|338302124764,graphics-and-design,1778831818.318708
pdf scanner,65,False,84,232,2,5980452|334458121859,business,1778832734.402842
bible app,64,False,89,234,1,338201980548,reference,1778831933.1698298
reminders,64,False,63,231,1,337735210211,photo-and-video,1778832892.639426
splitwise,64,False,44,198,1,7237471,finance,1778833025.541348
food tracker,63,False,81,236,8,338109923228|337323818982|281771475724|338253057122|337281789022,health-and-fitness,1778832390.327908
baby tracker,63,False,74,229,5,281836941420|280269830713|5851887|280125433823|280983995884,medical,1778831904.466601
fasting tracker,63,False,70,237,2,337266916346|337093056466,health-and-fitness,1778832295.698559
alarm clock,63,False,72,191,1,266417844442,lifestyle,1778831818.318721
sleep tracker,63,False,71,234,1,266417844442,lifestyle,1778832968.43972
watch faces,63,False,70,215,1,42019540235,lifestyle,1778833128.757291
